"Zone","Counties","Cities","URL","Sex","Cancer","PopTot","AAIR","LCI","UCI","White_PopTot","White_AAIR","White_LCI","White_UCI","Black_PopTot","Black_AAIR","Black_LCI","Black_UCI","Hispanic_PopTot","Hispanic_AAIR","Hispanic_LCI","Hispanic_UCI","Asian_PopTot","Asian_AAIR","Asian_LCI","Asian_UCI","QNSES","PopAll","PerRural","PerUninsured","PerForeignBorn","PerWhite","PerBlack","PerAsian","PerHispanic","PerAsian"
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Both","Lung",304995,75.4,66.9,84.9,250885,76.6,67.7,86.8,"","","","",24485,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Both","CRC",304995,39.5,33.3,46.8,250885,39.2,32.6,47.1,"","","","",24485,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Both","Mela",304995,40.9,34.5,48.5,250885,42.9,35.8,51.2,"","","","",24485,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Both","Lymph",304995,21.2,16.7,26.9,250885,21.9,17.0,28.1,"","","","",24485,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Both","Urinary",304995,11.5,8.3,15.8,250885,11.3,8.1,16.0,"","","","",24485,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Both","Kidney",304995,11.5,8.4,15.7,250885,12.3,9.0,17.0,"","","","",24485,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Both","Thyroid",304995,9.4,6.4,13.8,250885,9.9,6.5,14.9,"","","","",24485,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Both","Liver",304995,9.6,6.7,13.8,250885,8.3,5.4,12.8,"","","","",24485,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Both","Pancreas",304995,14.1,10.5,18.8,250885,14.9,11.0,20.2,"","","","",24485,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Male","AllSite",166640,493.1,461.4,526.9,133840,495.1,461.5,531.2,"","","","",17665,573.3,391.9,829.3,"","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Female","AllSite",168280,412.7,384.7,442.6,136135,405.5,375.8,437.6,"","","","",15965,435.0,295.8,628.3,"","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
